title,description,cost,license,app_type,origin,platform,supported_languages
Uwidgets,"Offers MacOS 15-style customizable, interactive widgets for Windows, including weather, calendar, notes, reminders, and a comprehensive system monitor. Features real-time blur, resizable widgets, grid snapping, multiple themes, accent colors, and offline local operation.",Free,Open Source,N/A,Kazakhstan,Windows,English
Creem,"Combines payment processing, global tax compliance, affiliate management, and subscription billing with AI-powered insights, automatic license key delivery, and revenue optimization tools, enabling digital product businesses to automate compliance, sales, and customer support.",Paid,Proprietary,Online Store Builder,"Estonia, EU","Online, Software as a Service (SaaS)",English
Thunderbird Appointment,"Coordinate meetings by setting your availability, sharing a booking link via email or website, planning one-off or recurring events, integrating your calendar to see appointments in one view, and simplifying scheduling by replacing manual back-and-forth.",Free,Open Source ( MPL-2.0 ),Appointment Scheduler,United States,Online,English
MeetingMenu,"This all-in-one tool simplifies your meetings, placing every essential feature in your menu bar: meeting countdown timers, quick meeting launches, live camera previews, screen recording, private browsing mode, sticky notes, time zone management, WiFi signal strength checks, and more.",Pay once,Proprietary,N/A,N/A,Mac  ,English
Trameter,"Plan your vacation in seconds with Trameter! Enter your destination, dates, & budget, and let our smart algorithm curate 9 tailored vacation packages just for you. Save time, skip the stress, and book your flights & hotels with just one click – all from one app.",Free,Proprietary,"Hotel Booking, Travel Planner",N/A,"iPhone, iPad",English
Crates,"Crates is a user-focused, next generation music app, that merges all user’s music collections into one, enables them to own their data, listen from any source and discover new music recommended by the community. Applicationsoftware reviews",Free,Proprietary,"Audio Player, Media Player","Greece, EU","Mac, Windows, iPhone, iPad",English
PlayStation Accessories,"With the PlayStation Accessories app, customize the controller’s settings and update its firmware directly from your Windows PC. Mobileapp discovery",Free,Proprietary,N/A,Japan,Windows,English
Sleepr,"Sleepr lets you schedule your Mac to go to sleep when you're watching a movie or series, or listening to a podcast or music!",Pay once,Proprietary,Shutdown Scheduler,N/A,Mac,"English, French"
DigitalZen,"Empower your digital habits with app/site blocking, Focus Time whitelisting, and Monk Mode detox. Supports Linux, screen time scheduling, and offers unique strategies for breaks, night restrictions, and balanced digital living. Embrace efficient device interaction on your terms. Linux& Unix",Freemium (Pay once or Subscription),Proprietary,"Anti Procrastination Tool, Time Tracking Tool",United States,"Mac, Windows, Linux  , Online, Microsoft Edge, Vivaldi, Google Chrome, Safari, Opera, Brave, Mozilla Firefox",English
kitshn,"An unofficial client for the self-hosted Tandoor recipe management software. Built with Jetpack Compose and Material You to deliver a modern, intuitive and responsive user experience.",Free,Open Source ( GPL-3.0 ),"Recipe Manager, Grocery List App","Germany, EU","Android, Android Tablet, F-Droid, iPhone, iPad, Linux, Flatpak",English
